interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race,household_income,education,state,congress_district,age,vote_trump,vote_biden,education_level,income_level
Hardly at all,Not registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Mexican,white,"$15,000 to $19,999",Completed some high school,north carolina,NC11,29,1,0,NA,1
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Someone else,Very Liberal,unemployed,The United States,Male,Northeast,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",massachusetts,MA04,48,0,0,5,0
Some of the time,Registered,"Did not vote, but was eligible",Not sure,I would not vote,Moderate,not in labor force,The United States,Female,South,Mexican,white,"$15,000 to $19,999",High school graduate,texas,TX11,28,0,0,3,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,South,Not Hispanic,"other race, nec","Less than $14,999","Completed some college, but no degree",north carolina,NC03,30,0,1,5,0
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$100,000 to $124,999","Completed some college, but no degree",massachusetts,MA01,27,0,1,5,18
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,Northeast,Not Hispanic,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",pennsylvania,PA11,54,1,0,7,9
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,Northeast,Not Hispanic,white,"$200,000 to $249,999",Masters degree,new york,NY10,45,0,1,9,22
Hardly at all,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I am not sure/don't know,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$75,000 to $79,999",High school graduate,south carolina,SC04,35,0,0,3,13
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,Northeast,Not Hispanic,white,"$250,000 and above",Masters degree,new york,NY12,45,1,0,9,23
Only now and then,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$15,000 to $19,999",Associate Degree,pennsylvania,PA15,64,0,1,6,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,Another country,Male,Northeast,Not Hispanic,other asian or pacific islander,"$50,000 to $54,999","Completed some graduate, but no degree",massachusetts,MA08,53,0,1,8,8
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$125,000 to $149,999","Completed some graduate, but no degree",florida,FL09,38,1,0,8,19
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Not Hispanic,black/african american/negro,"$65,000 to $69,999",Masters degree,texas,TX30,67,0,1,9,11
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,unemployed,The United States,Female,Midwest,Not Hispanic,white,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",illinois,IL15,24,0,1,7,3
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Northeast,Not Hispanic,white,"$125,000 to $149,999","Completed some graduate, but no degree",new york,NY24,34,1,0,8,19
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Male,South,Not Hispanic,white,"$45,000 to $49,999","Completed some college, but no degree",georgia,GA02,26,1,0,5,7
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",louisiana,LA01,67,0,1,7,11
Most of the time,Registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Liberal,not in labor force,The United States,Female,South,Not Hispanic,american indian or alaska native,"$25,000 to $29,999",Completed some high school,oklahoma,OK02,34,0,0,NA,3
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,South,Other Hispanic,white,"$75,000 to $79,999","Completed some college, but no degree",florida,FL09,54,1,0,5,13
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$125,000 to $149,999",Masters degree,florida,FL08,30,0,1,9,19
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Liberal,employed,The United States,Female,West,Mexican,"other race, nec","$15,000 to $19,999",Completed some high school,california,CA49,41,0,0,NA,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,South,Not Hispanic,white,"$95,000 to $99,999","Completed some college, but no degree",florida,FL10,66,1,0,5,17
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Not Sure,unemployed,Another country,Female,Northeast,Not Hispanic,other asian or pacific islander,"Less than $14,999","College Degree (such as B.A., B.S.)",new york,NY27,42,0,0,7,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,West,Not Hispanic,"other race, nec","$100,000 to $124,999","Completed some college, but no degree",california,CA21,49,1,0,5,18
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,Northeast,Not Hispanic,white,"$100,000 to $124,999",Masters degree,new jersey,NJ07,29,0,1,9,18
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,unemployed,The United States,Male,South,Not Hispanic,white,"Less than $14,999",Completed some high school,north carolina,NC10,31,1,0,NA,0
Most of the time,Registered,Hillary Clinton,"No, I will not vote but I am eligible",Joe Biden,Very Liberal,employed,The United States,Male,Midwest,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",iowa,IA03,36,0,1,7,18
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,unemployed,The United States,Male,South,Not Hispanic,white,"$40,000 to $44,999",Other post high school vocational training,texas,TX04,39,1,0,4,6
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,South,Not Hispanic,white,"$100,000 to $124,999",Masters degree,virginia,VA10,41,1,0,9,18
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,not in labor force,Another country,Female,South,Not Hispanic,"other race, nec","$25,000 to $29,999","Completed some college, but no degree",florida,FL11,50,1,0,5,3
Some of the time,Registered,Jill Stein,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,South,Not Hispanic,other asian or pacific islander,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",virginia,VA06,32,0,1,7,5
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Not Hispanic,american indian or alaska native,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",mississippi,MS04,36,0,1,7,13
Some of the time,Registered,Jill Stein,"Yes, I will vote",Joe Biden,Conservative,employed,The United States,Female,Northeast,Not Hispanic,american indian or alaska native,"$95,000 to $99,999",Associate Degree,massachusetts,MA08,60,0,1,6,17
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,Midwest,Not Hispanic,black/african american/negro,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",illinois,IL18,26,0,1,7,10
Only now and then,Not registered,"Did not vote, but was eligible",Not sure,Donald Trump,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$35,000 to $39,999","Completed some college, but no degree",ohio,OH07,37,1,0,5,5
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,Midwest,Mexican,white,"$250,000 and above",Masters degree,illinois,IL10,34,0,1,9,23
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$65,000 to $69,999","Completed some college, but no degree",new hampshire,NH01,72,0,1,5,11
Only now and then,Not registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,unemployed,The United States,Male,Midwest,Salvadorean,"other race, nec","Less than $14,999",High school graduate,south dakota,SD00,28,0,1,3,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Panamanian,"other race, nec","$20,000 to $24,999","College Degree (such as B.A., B.S.)",maryland,MD03,51,0,1,7,2
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$25,000 to $29,999","Completed some college, but no degree",maine,ME02,38,0,1,5,3
Some of the time,Not registered,Donald Trump,"No, I will not vote but I am eligible",Donald Trump,Moderate,employed,Another country,Male,Northeast,Not Hispanic,white,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",new jersey,,37,1,0,7,2
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Mexican,white,"$20,000 to $24,999",Associate Degree,texas,TX29,44,0,1,6,2
Hardly at all,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Moderate,employed,Another country,Female,Midwest,Not Hispanic,other asian or pacific islander,"$25,000 to $29,999",Associate Degree,ohio,OH11,43,0,1,6,3
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Mexican,black/african american/negro,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",virginia,VA07,25,0,1,7,7
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Moderate,employed,Another country,Female,South,Not Hispanic,other asian or pacific islander,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",florida,,25,0,1,7,15
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,Midwest,Not Hispanic,other asian or pacific islander,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",minnesota,MN04,28,0,1,7,18
Only now and then,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,unemployed,The United States,Male,South,Not Hispanic,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",kentucky,KY04,49,0,0,7,19
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,West,Argentinian,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",california,CA26,32,1,0,7,19
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,West,Not Hispanic,white,"$100,000 to $124,999",High school graduate,california,CA50,55,0,1,3,18
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,West,Not Hispanic,white,"$150,000 to $174,999",Masters degree,california,CA34,40,0,1,9,20
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,Another country,Male,West,Not Hispanic,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",california,CA30,40,0,1,7,4
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Female,West,Mexican,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",new mexico,NM02,35,0,1,7,4
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,Northeast,Other Hispanic,"other race, nec","$25,000 to $29,999",Associate Degree,pennsylvania,PA12,34,0,1,6,3
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,South,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",texas,TX34,38,1,0,5,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Mexican,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",tennessee,TN01,68,1,0,7,4
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,Another country,Female,Midwest,Not Hispanic,other asian or pacific islander,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",illinois,IL08,68,0,1,7,11
Only now and then,Registered,Don't recall,"Yes, I will vote",Donald Trump,Not Sure,employed,The United States,Female,West,Mexican,"other race, nec","$35,000 to $39,999",Completed some high school,new mexico,NM02,43,1,0,NA,5
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,West,Not Hispanic,NA,"$15,000 to $19,999",Completed some high school,oregon,OR03,30,1,0,NA,1
Some of the time,Not registered,Donald Trump,"No, I will not vote but I am eligible",Joe Biden,Liberal,employed,The United States,Female,South,Other Hispanic,white,"$25,000 to $29,999",High school graduate,florida,FL09,43,0,1,3,3
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,Another country,Female,Northeast,Not Hispanic,black/african american/negro,"Less than $14,999","Completed some college, but no degree",new york,NY08,31,0,1,5,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,unemployed,The United States,Male,West,Not Hispanic,white,"$85,000 to $89,999",Associate Degree,california,CA39,64,1,0,6,15
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Very Conservative,employed,Another country,Female,South,Venezuelan,"other race, nec","$45,000 to $49,999",Associate Degree,florida,FL10,46,0,0,6,7
Some of the time,Registered,Hillary Clinton,"No, I will not vote but I am eligible",Someone else,Moderate,employed,The United States,Female,West,Mexican,"other race, nec","$15,000 to $19,999",Associate Degree,california,CA25,27,0,0,6,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$100,000 to $124,999",Associate Degree,ohio,OH02,64,1,0,6,18
Most of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Liberal,employed,The United States,Female,West,Not Hispanic,black/african american/negro,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",colorado,CO01,38,0,1,7,2
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,Midwest,Not Hispanic,white,"$75,000 to $79,999",Associate Degree,kansas,KS04,41,0,1,6,13
Most of the time,Registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Not Sure,employed,The United States,Female,South,Cuban,white,"$100,000 to $124,999",High school graduate,georgia,GA03,48,0,0,3,18
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Male,Northeast,Not Hispanic,white,"$30,000 to $34,999",High school graduate,new york,NY26,60,1,0,3,4
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,Midwest,Not Hispanic,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",michigan,MI11,72,0,1,7,7
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,South,Not Hispanic,white,"$70,000 to $74,999","Completed some college, but no degree",south carolina,SC03,34,1,0,5,12
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,unemployed,The United States,Male,South,Not Hispanic,white,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",georgia,GA06,31,0,1,7,21
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,Midwest,Not Hispanic,white,"$20,000 to $24,999",Associate Degree,michigan,MI14,39,0,1,6,2
Some of the time,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",Donald Trump,Very Conservative,employed,The United States,Male,Midwest,Not Hispanic,american indian or alaska native,"Less than $14,999",Completed some high school,ohio,OH07,33,1,0,NA,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,South,Mexican,"other race, nec","$50,000 to $54,999","Completed some graduate, but no degree",texas,TX29,48,0,1,8,8
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Mexican,white,"$25,000 to $29,999","Completed some college, but no degree",texas,TX24,29,0,1,5,3
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$65,000 to $69,999",Associate Degree,florida,FL12,40,1,0,6,11
Only now and then,Don't know,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,West,Not Hispanic,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",arizona,AZ07,25,1,0,7,17
Only now and then,Not registered,Donald Trump,"No, I am not eligible to vote",Donald Trump,Moderate,unemployed,The United States,Male,West,Mexican,"other race, nec","Less than $14,999",High school graduate,utah,UT01,39,1,0,3,0
Some of the time,Don't know,Don't recall,Not sure,I am not sure/don't know,Moderate,employed,Another country,Female,West,Not Hispanic,"other race, nec","$25,000 to $29,999","Completed some college, but no degree",nevada,NV04,28,0,0,5,3
Only now and then,Registered,Hillary Clinton,Not sure,Joe Biden,Conservative,unemployed,The United States,Male,Midwest,Mexican,white,"$80,000 to $84,999",Associate Degree,illinois,IL04,21,0,1,6,14
Some of the time,Don't know,Don't recall,Not sure,I would not vote,Not Sure,unemployed,The United States,Male,South,Mexican,"other race, nec","Less than $14,999",Completed some high school,oklahoma,OK05,41,0,0,NA,0
Hardly at all,Registered,"Did not vote, but was eligible",Not sure,Someone else,Not Sure,unemployed,The United States,Female,South,Other Hispanic,"other race, nec","Less than $14,999",Completed some high school,delaware,DE00,30,0,0,NA,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,"other race, nec","$35,000 to $39,999","College Degree (such as B.A., B.S.)",texas,TX34,63,1,0,7,5
Only now and then,Don't know,"Did not vote, but was eligible",Not sure,Donald Trump,Moderate,not in labor force,The United States,Female,West,Mexican,"other race, nec","Less than $14,999","Completed some college, but no degree",colorado,CO04,41,1,0,5,0
Only now and then,Registered,Donald Trump,"No, I will not vote but I am eligible",Donald Trump,Very Liberal,employed,The United States,Male,West,Mexican,white,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",california,CA35,36,1,0,7,16
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Male,South,Not Hispanic,white,"$150,000 to $174,999",Completed some high school,florida,,25,1,0,NA,20
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Moderate,not in labor force,Another country,Female,Northeast,Not Hispanic,chinese,"$30,000 to $34,999",Associate Degree,new york,NY11,29,0,0,6,4
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$250,000 and above","Completed some college, but no degree",pennsylvania,PA05,19,0,1,5,23
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$100,000 to $124,999",Masters degree,new jersey,NJ06,41,1,0,9,18
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Moderate,not in labor force,Another country,Male,South,Not Hispanic,white,"$70,000 to $74,999","Completed some graduate, but no degree",texas,TX22,62,1,0,8,12
Only now and then,Not registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$50,000 to $54,999","Completed some college, but no degree",new york,NY21,33,1,0,5,8
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Moderate,employed,Another country,Female,Northeast,Not Hispanic,other asian or pacific islander,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",new jersey,NJ04,41,0,0,7,19
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,Another country,Male,South,Not Hispanic,white,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",virginia,VA03,37,0,1,7,3
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Female,Midwest,Not Hispanic,white,"$35,000 to $39,999",Completed some high school,ohio,OH06,40,1,0,NA,5
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,South,Mexican,white,"$50,000 to $54,999","Completed some college, but no degree",texas,TX20,60,1,0,5,8
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Mexican,white,"$30,000 to $34,999","Completed some college, but no degree",texas,TX27,43,0,1,5,4
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Liberal,unemployed,Another country,Male,Northeast,Other Hispanic,"other race, nec","Less than $14,999",High school graduate,new jersey,NJ09,26,0,0,3,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,Another country,Male,West,Not Hispanic,other asian or pacific islander,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",california,CA20,62,1,0,7,10
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,unemployed,The United States,Male,South,Not Hispanic,white,"$45,000 to $49,999","Completed some college, but no degree",georgia,GA02,60,1,0,5,7
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,South,Not Hispanic,white,"Less than $14,999",High school graduate,west virginia,WV01,69,0,1,3,0
Most of the time,Don't know,Hillary Clinton,Not sure,I am not sure/don't know,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",new york,NY20,35,0,0,7,12
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,Midwest,Not Hispanic,white,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",michigan,MI03,35,0,1,7,14
Most of the time,Registered,Someone else:,"Yes, I will vote",I am not sure/don't know,Moderate,unemployed,Another country,Male,South,Not Hispanic,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",virginia,VA04,45,0,0,7,8
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Joe Biden,Liberal,not in labor force,The United States,Male,South,Not Hispanic,white,"Less than $14,999",Associate Degree,florida,FL20,63,0,1,6,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$50,000 to $54,999",Associate Degree,new york,NY26,62,1,0,6,8
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Male,South,Not Hispanic,white,"$70,000 to $74,999","Completed some college, but no degree",florida,FL06,63,1,0,5,12
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,South,Not Hispanic,white,"$125,000 to $149,999",Masters degree,district of columbia,DC00,42,1,0,9,19
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,West,Mexican,"other race, nec","Less than $14,999","Completed some college, but no degree",hawaii,HI01,23,0,1,5,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,West,Not Hispanic,white,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",california,CA06,41,1,0,7,2
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,South,Not Hispanic,white,"$50,000 to $54,999",High school graduate,georgia,GA14,39,1,0,3,8
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,South,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",virginia,VA05,69,0,1,7,18
Some of the time,Registered,Jill Stein,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$45,000 to $49,999","Completed some college, but no degree",kentucky,KY06,52,0,1,5,7
Most of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",ohio,OH09,39,0,0,7,21
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,West,Not Hispanic,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",washington,WA10,62,0,1,7,17
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,Another country,Female,South,Not Hispanic,"other race, nec","$35,000 to $39,999","College Degree (such as B.A., B.S.)",georgia,GA06,32,0,1,7,5
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,South,Not Hispanic,white,"$35,000 to $39,999","Completed some college, but no degree",virginia,VA09,72,0,1,5,5
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Moderate,unemployed,Another country,Female,West,Not Hispanic,other asian or pacific islander,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",colorado,CO06,39,0,0,7,13
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",new york,NY12,41,1,0,7,10
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",florida,FL23,59,0,1,7,15
Most of the time,Registered,Don't recall,"Yes, I will vote",Joe Biden,Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",illinois,IL12,68,0,1,7,8
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,unemployed,The United States,Male,South,Not Hispanic,white,"$50,000 to $54,999",Completed some high school,kentucky,KY06,35,1,0,NA,8
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,South,Not Hispanic,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",north carolina,NC04,58,1,0,7,8
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Not Sure,employed,The United States,Male,South,Not Hispanic,black/african american/negro,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",texas,TX09,40,0,0,7,20
Hardly at all,Not registered,Don't recall,"No, I am not eligible to vote",I would not vote,Not Sure,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$25,000 to $29,999",High school graduate,pennsylvania,PA10,51,0,0,3,3
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,South,Mexican,"other race, nec","$100,000 to $124,999","Completed some college, but no degree",texas,TX26,49,1,0,5,18
Some of the time,Registered,Was not eligible to vote,Not sure,I am not sure/don't know,Moderate,employed,Another country,Male,West,Other Hispanic,black/african american/negro,"Less than $14,999",High school graduate,washington,WA04,35,0,0,3,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,West,Not Hispanic,white,"$200,000 to $249,999",Doctorate degree,california,CA38,41,1,0,10,22
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Northeast,Not Hispanic,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",new york,NY14,57,1,0,7,9
